id,supplier_id,created_by,submitted_date,creation_date,status_id,expected_date,shipping_fee,taxes,payment_date,payment_amount,payment_method,notes,approved_by,approved_date,submitted_by
102,1,1,2006-03-24 00:00:00,2006-03-24 00:00:00,2,,0,0,,0,,Purchase generated based on Order #41,2,2006-04-04 00:00:00,1
95,4,2,2006-01-14 00:00:00,2006-01-22 00:00:00,2,,0,0,,0,,,2,2006-01-22 00:00:00,2
103,2,1,2006-03-24 00:00:00,2006-03-24 00:00:00,2,,0,0,,0,,Purchase generated based on Order #42,2,2006-04-04 00:00:00,1
148,5,2,2006-04-26 18:33:52,2006-04-26 18:33:52,1,,0,0,,0,,,,,2
91,3,2,2006-01-14 00:00:00,2006-01-22 00:00:00,2,,0,0,,0,,,2,2006-01-22 00:00:00,2
99,1,3,2006-01-14 00:00:00,2006-01-22 00:00:00,2,,0,0,,0,,Purchase generated based on Order #38,2,2006-01-22 00:00:00,3
109,2,4,2006-03-24 00:00:00,2006-03-24 00:00:00,2,,0,0,,0,,Purchase generated based on Order #48,2,2006-04-04 00:00:00,4
146,2,2,2006-04-26 18:26:37,2006-04-26 18:26:37,1,,0,0,,0,,,,,2
90,1,2,2006-01-14 00:00:00,2006-01-22 00:00:00,2,,0,0,,0,,,2,2006-01-22 00:00:00,2
101,1,2,2006-01-14 00:00:00,2006-01-22 00:00:00,2,,0,0,,0,,Purchase generated based on Order #40,2,2006-01-22 00:00:00,2
97,2,7,2006-01-14 00:00:00,2006-01-22 00:00:00,2,,0,0,,0,,Purchase generated based on Order #33,2,2006-01-22 00:00:00,7
96,1,5,2006-01-14 00:00:00,2006-01-22 00:00:00,2,,0,0,,0,,Purchase generated based on Order #30,2,2006-01-22 00:00:00,5
110,1,3,2006-03-24 00:00:00,2006-03-24 00:00:00,2,,0,0,,0,,Purchase generated based on Order #49,2,2006-04-04 00:00:00,3
142,8,,2006-04-25 00:00:00,2006-04-25 17:18:29,2,,0,0,,0,Check,,2,2006-04-25 17:18:51,2
106,6,7,2006-03-24 00:00:00,2006-03-24 00:00:00,2,,0,0,,0,,Purchase generated based on Order #46,2,2006-04-04 00:00:00,7
140,6,,2006-04-25 00:00:00,2006-04-25 16:40:51,2,,0,0,,0,,,2,2006-04-25 16:41:33,2
111,1,2,2006-03-31 00:00:00,2006-03-31 00:00:00,2,,0,0,,0,,Purchase generated based on Order #56,2,2006-04-04 00:00:00,2
98,2,4,2006-01-14 00:00:00,2006-01-22 00:00:00,2,,0,0,,0,,Purchase generated based on Order #36,2,2006-01-22 00:00:00,4
93,5,2,2006-01-14 00:00:00,2006-01-22 00:00:00,2,,0,0,,0,,,2,2006-01-22 00:00:00,2
104,2,1,2006-03-24 00:00:00,2006-03-24 00:00:00,2,,0,0,,0,,Purchase generated based on Order #45,2,2006-04-04 00:00:00,1
108,2,4,2006-03-24 00:00:00,2006-03-24 00:00:00,2,,0,0,,0,,Purchase generated based on Order #48,2,2006-04-04 00:00:00,4
107,1,6,2006-03-24 00:00:00,2006-03-24 00:00:00,2,,0,0,,0,,Purchase generated based on Order #47,2,2006-04-04 00:00:00,6
100,2,9,2006-01-14 00:00:00,2006-01-22 00:00:00,2,,0,0,,0,,Purchase generated based on Order #39,2,2006-01-22 00:00:00,9
92,2,2,2006-01-14 00:00:00,2006-01-22 00:00:00,2,,0,0,,0,,,2,2006-01-22 00:00:00,2
141,8,,2006-04-25 00:00:00,2006-04-25 17:10:35,2,,0,0,,0,,,2,2006-04-25 17:10:55,2
94,6,2,2006-01-14 00:00:00,2006-01-22 00:00:00,2,,0,0,,0,,,2,2006-01-22 00:00:00,2
105,5,7,2006-03-24 00:00:00,2006-03-24 00:00:00,2,,0,0,,0,Check,Purchase generated based on Order #46,2,2006-04-04 00:00:00,7
147,7,2,2006-04-26 18:33:28,2006-04-26 18:33:28,1,,0,0,,0,,,,,2
